Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
ATL,27,2014-12-22,Away,DAL,W,105,102,40,81,0.494,7,19,0.368,18,27,0.667,6,43,26,6,6,17,21,39,90,0.433,11,28,0.393,13,20,0.65,13,47,23,12,5,15,23
ATL,28,2014-12-23,Home,LAC,W,107,104,34,76,0.447,12,23,0.522,27,35,0.771,9,43,28,6,3,14,21,37,92,0.402,11,29,0.379,19,28,0.679,16,51,26,10,5,10,23
ATL,29,2014-12-26,Home,MIL,L,77,107,31,76,0.408,4,23,0.174,11,14,0.786,8,38,20,8,4,22,19,40,79,0.506,8,19,0.421,19,23,0.826,6,40,28,15,6,15,19
ATL,30,2014-12-27,Away,MIL,W,90,85,33,90,0.367,9,29,0.31,15,19,0.789,17,51,25,9,4,11,17,31,80,0.388,12,30,0.4,11,14,0.786,13,47,21,5,10,19,18
ATL,31,2014-12-30,Home,CLE,W,109,101,40,79,0.506,10,29,0.345,19,26,0.731,7,44,23,13,5,15,19,37,84,0.44,13,31,0.419,14,21,0.667,11,42,23,10,2,18,24
ATL,32,2015-01-02,Away,UTA,W,98,92,33,81,0.407,6,23,0.261,26,30,0.867,11,47,24,9,3,10,17,32,86,0.372,10,31,0.323,18,24,0.75,17,47,18,6,9,14,18
ATL,33,2015-01-03,Away,POR,W,115,107,43,84,0.512,6,17,0.353,23,31,0.742,10,46,17,9,5,14,15,42,93,0.452,13,33,0.394,10,12,0.833,11,44,24,6,7,18,23
ATL,34,2015-01-05,Away,LAC,W,107,98,36,81,0.444,13,27,0.481,22,33,0.667,7,41,25,13,2,12,23,33,74,0.446,7,25,0.28,25,33,0.758,8,45,23,5,5,21,25
ATL,35,2015-01-07,Home,MEM,W,96,86,32,72,0.444,13,25,0.52,19,23,0.826,8,37,21,17,4,17,15,35,79,0.443,5,17,0.294,11,11,1,8,39,20,10,4,21,21
ATL,36,2015-01-09,Away,DET,W,106,103,40,82,0.488,10,23,0.435,16,24,0.667,6,49,27,3,3,14,13,38,96,0.396,13,43,0.302,14,18,0.778,11,46,24,9,3,7,19
ATL,37,2015-01-11,Home,WAS,W,120,89,42,89,0.472,16,31,0.516,20,24,0.833,13,42,34,14,3,8,15,36,76,0.474,5,20,0.25,12,15,0.8,8,39,25,5,7,19,16
ATL,38,2015-01-13,Away,PHI,W,105,87,42,87,0.483,12,23,0.522,9,16,0.563,15,47,34,6,3,16,17,31,76,0.408,9,25,0.36,16,25,0.64,12,35,20,8,6,18,22
ATL,39,2015-01-14,Away,BOS,W,105,91,36,73,0.493,10,29,0.345,23,27,0.852,6,35,23,13,7,12,12,34,83,0.41,11,33,0.333,12,14,0.857,13,40,22,5,2,16,23
